id_local,nombre,categoria,direccion,barrio,comuna
307,MANAS,,ARMENIA 1453,Palermo,Comuna 14
1508,MANDARIN'S CAFE,RESTAURANTE,VILELA 2095,NuÃƒÂ±ez,Comuna 13
309,MANDOLINA,,BOLLINI 2138,Recoleta,Comuna 2
1027,MANGGIATA,RESTAURANTE,"GALLARDO, ANGEL AV. 1008",Caballito,Comuna 6
2387,MANGIA,RESTAURANTE,SAN MARTIN 150,San Nicolas,Comuna 1
308,MANGLA LOUNGE,RESTAURANTE,"ARGUIBEL, ANDRES 2859",Palermo,Comuna 14
921,MANIAS,RESTAURANTE,CASEROS AV. 1952,Barracas,Comuna 4
1824,MANJARES,RESTAURANTE,CHARCAS 2802,Recoleta,Comuna 2
1220,MANJARES NATURALES,RESTAURANTE,RIVADAVIA AV. 8155,Floresta,Comuna 10
823,MANJARES RESTO BAR,RESTAURANTE,"PERON, JUAN DOMINGO, TTE. GENERAL 2390",Balvanera,Comuna 3
1825,MANOLETE,RESTAURANTE,CALLAO AV. 2081,Recoleta,Comuna 2
2601,MANOLO,RESTAURANTE,BRASIL 488,San Telmo,Comuna 1
310,MANOLO,BAR,CABELLO 3958,Palermo,Comuna 14
822,MAÃƒâ€˜ON,RESTAURANTE,"URQUIZA, Gral. 798",Balvanera,Comuna 3
2022,MANTRA,RESTAURANTE,LIBERTAD 1053,Retiro,Comuna 1
311,MANUCHO,RESTAURANTE,BERUTI 3479,Palermo,Comuna 14
1826,MANUK,CAFE,"BRAVO, MARIO 1287",Recoleta,Comuna 2
2389,MAQUIAVELO DE FLORENCIA,RESTAURANTE,CORRIENTES AV. 1660,San Nicolas,Comuna 1
1443,MARAXE,RESTAURANTE,CHILE 899,Monserrat,Comuna 1
527,MARCE,RESTAURANTE,VUELTA DE OBLIGADO 2611,Belgrano,Comuna 13
2810,MARCE,,DE LOS CONSTITUYENTES AV. 5801,Villa Urquiza,Comuna 12
312,MARENGO,RESTAURANTE,"ALVAREZ, JULIAN 2774",Palermo,Comuna 14
1218,MARGARITA,RESTAURANTE,DIRECTORIO AV. 3400,Parque Avellaneda,Comuna 9
313,MARHABA 2000,RESTAURANTE,"SCALABRINI ORTIZ, RAUL AV. 1550",Palermo,Comuna 14
2021,MARIA & CIA.,BAR,PARAGUAY 945,Retiro,Comuna 1
315,MARIA FELIX,RESTAURANTE,SOLDADO DE LA INDEPENDENCIA 1150,Palermo,Comuna 14
314,MARIA FULÃ¢â‚¬Å“,RESTAURANTE,"CABRERA, JOSE A. 5065",Palermo,Comuna 14
1828,MARIA MARIA,CAFE,GUEMES 3140,Recoleta,Comuna 2
2023,MARIA PEPE,BAR,LIBERTAD 1027,Retiro,Comuna 1
1827,MARIBEL Y CIA,CAFE,GALLO 1675,Recoleta,Comuna 2
